it,avg,best
0,752.602,780
1,751.998,780
2,751.41,780
3,751.27,780
4,752.642,780
5,752.842,780
6,752.868,780
7,753.54,780
8,753.826,780
9,753.862,780
10,754.19,780
11,753.396,780
12,754.392,780
13,754.668,780
14,753.946,780
15,754.426,780
16,753.61,780
17,753.57,780
18,753.388,780
19,753.744,780
20,754.082,780
21,754.176,780
22,754.436,780
23,754.74,780
24,754.612,780
25,754.686,780
26,753.892,780
27,753.71,780
28,753.678,780
29,754.432,780
30,754.718,780
31,754.882,780
32,754.662,780
33,754.462,780
34,754.642,780
35,754.918,780
36,754.204,780
37,753.644,780
38,753.638,780
39,753.806,780
40,753.394,780
41,753.658,780
42,754.046,780
43,753.524,780
44,753.252,780
45,753.84,780
46,753.632,780
47,754.206,780
48,753.484,780
49,754.192,780
50,754.862,780
51,755.206,780
52,756.344,780
53,756.24,780
54,755.63,780
55,754.502,780
56,753.408,780
57,753.458,780
58,753.258,780
59,752.828,780
60,752.492,780
61,752.858,780
62,752.282,780
63,753.018,780
64,752.286,780
65,752.186,780
66,752.204,780
67,752.314,780
68,751.872,780
69,751.698,780
70,752.62,780
71,753.034,780
72,753.032,780
73,752.982,780
74,752.18,780
75,752.406,780
76,752.542,780
77,752.202,780
78,751.62,780
79,751.75,780
80,752.864,780
81,753.668,780
82,754.262,780
83,754.508,780
84,754.39,780
85,755.53,780
86,756.12,780
87,755.41,780
88,754.062,780
89,754.518,780
90,755.582,780
91,755.944,780
92,757.196,780
93,756.542,780
94,756.742,780
95,756.47,780
96,756.116,780
97,756.574,780
98,756.956,780
99,756.886,780
100,756.206,780
101,756.646,780
102,757.304,780
103,756.912,780
104,757.03,780
105,757.3,780
106,757.712,780
107,756.648,780
108,756.722,780
109,757.218,780
110,758.35,780
111,757.824,780
112,757.204,780
113,757.406,780
114,757.238,780
115,756.886,780
116,756.624,780
117,757.586,780
118,758.054,780
119,757.366,780
120,757.356,780
121,756.788,780
122,756.964,780
123,756.42,780
124,756.452,780
125,756.56,780
126,756.018,780
127,755.462,780
128,755.61,780
129,756.53,780
130,756.382,780
131,756.486,780
132,757.506,780
133,758.394,780
134,757.824,780
135,757.47,780
136,757.428,780
137,756.688,780
138,757.76,780
139,758.008,780
140,756.72,780
141,757.834,780
142,757.716,780
143,757.448,780
144,756.082,780
145,756.132,780
146,756.806,780
147,757.238,780
148,757.746,780
149,757.698,780
150,758.15,780
151,758.426,780
152,758.952,780
153,759.09,780
154,758.664,780
155,759.508,780
156,759.94,780
157,759.614,780
158,759.512,780
159,759.768,780
160,760.1,780
161,760.506,780
162,761.446,782
163,761.878,782
164,761.966,782
165,760.928,782
166,761.004,785
167,760.398,785
168,760.546,785
169,760.888,785
170,760.628,785
171,760.256,786
172,761.43,786
173,760.902,786
174,760.392,786
175,760.604,786
176,760.856,786
177,760.318,786
178,760.33,786
179,759.716,786
180,759.468,786
181,759.828,786
182,760.146,786
183,760.106,786
184,759.474,786
185,759.648,786
186,760.2,786
187,760.226,786
188,760.238,786
189,760.046,786
190,760.166,786
191,760.02,786
192,759.558,786
193,759.664,786
194,759.702,786
195,759.178,786
196,759.248,786
197,759.512,786
198,759.41,786
199,759.992,786
200,759.328,786
201,759.994,786
202,759.702,786
203,760.378,786
204,761.046,786
205,760.794,786
206,760.45,786
207,760.196,786
208,760.062,786
209,760.006,786
210,760.37,786
211,760.106,786
212,760.51,786
213,760.648,786
214,760.236,786
215,760.752,786
216,761.144,786
217,761.572,786
218,761.688,786
219,761.936,786
220,762.756,786
221,762.066,786
222,762.232,786
223,762.226,786
224,761.846,786
